gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
SCYL3,9.839724419,10.00182595,9.824939935,9.659987865,9.389392456,10.07990107,10.12106203,10.23837298,9.461937755,9.436314106,9.597258308,9.762586824,9.792145327,9.474291868,9.44547827,9.509496302,9.513656476,8.890563265,9.609733377,9.514026041,9.352431833,9.518453192,9.755591357
C1orf112,8.480568486,8.642883888,8.68678516,8.787398957,8.634227098,7.967302637,8.343853134,7.864005799,8.765998771,8.526414106,8.765912334,8.772696667,8.887286333,8.402787324,8.48433448,8.699575615,8.647169684,8.157473282,8.691684702,8.765431451,8.682474984,8.651917128,8.520269551
FGR,5.963726593,8.742776434,6.56869047,9.440584318,6.56478374,11.76405394,11.35149976,10.09843771,6.387996045,6.378081488,8.150417531,8.843863225,8.494267593,6.107668238,6.710661009,6.212941722,6.118849054,12.61179114,9.412229896,7.120878623,6.398990137,6.379688533,8.075201772
CFH,7.661145565,8.554532069,8.237041594,7.064207677,5.880399509,9.118274073,7.303575197,9.306299508,6.907649244,5.480556601,7.185358972,7.291548246,7.267370071,6.873494446,5.815011585,6.944125496,5.869089241,6.384394602,7.195718227,6.958037804,6.147701362,7.03223448,7.851198518
STPG1,8.189711687,7.887455897,7.949023811,7.793317482,8.254498801,7.639159905,7.285635073,7.117724602,8.051597325,8.103574032,7.408081785,7.704269261,7.647573779,7.91223277,8.17278144,7.976112276,7.886234425,7.587754171,7.833642441,8.049267764,8.013532568,8.006479802,7.679862644
NIPAL3,10.58200843,10.21957139,10.70485334,10.41854663,11.03597874,10.77925715,11.32154845,10.97171657,11.06204815,10.98129373,10.32936196,10.22413052,10.35343543,10.90517042,11.01437648,10.95719204,10.97376475,10.41429094,10.40908831,10.9721109,11.00703304,11.00082167,10.07180374
AK2,13.03226445,12.89308261,12.99596309,12.74675697,12.8906083,10.98835229,10.81758813,11.11848677,12.86778255,12.91534534,12.77258953,12.78670728,12.88353374,12.91039751,12.90695661,12.92429812,12.83833029,12.12130246,12.68067712,12.74253564,12.98111066,13.02507313,13.11136926
KDM1A,11.6647971,11.58933016,11.59118383,11.72884328,11.90512312,11.30900897,11.25741399,11.27113892,11.8557004,11.89861559,11.8203527,11.71973499,11.76907911,11.79638992,11.95679183,11.81392042,11.89051033,11.34560841,11.72541161,11.68781268,11.89009291,11.86854743,11.64051421
TTC22,7.926480488,8.091784193,8.091017357,8.024217675,8.054184865,9.076018754,9.075893555,9.085211743,8.364998563,8.299631607,7.851988781,7.767585356,7.866605194,8.195000524,8.17278144,8.264847338,8.275090286,7.347471352,8.081193787,8.331063625,7.983087722,7.910128123,7.555720639
ST7L,7.879307311,7.757013524,7.982544138,7.757094502,7.473119762,8.27075494,7.969889082,8.344256768,7.834037775,7.526715965,7.55338827,7.502501732,7.478657734,7.778999197,7.637633391,7.735282595,7.668500371,8.000062741,7.39187466,7.768442693,7.566910831,7.703352092,7.563326418
DNAJC11,11.38041353,11.23328319,11.25433556,11.06992713,11.4686496,9.850648338,9.933616897,9.568421079,11.26920641,11.47576429,11.09322326,11.05380363,11.0416474,11.31431152,11.40576059,11.23922087,11.3269873,10.86387378,11.12361605,11.09100623,11.43862979,11.23561658,10.96733715
CDK11A,8.783568286,8.200186713,8.811398417,8.046899536,8.873003653,8.850462713,9.144686936,9.017747541,8.74395024,8.742839781,8.199823555,7.986609646,7.652706648,8.65867282,8.975719673,8.715293538,8.691213765,7.829212659,8.292424333,8.74251865,8.765317242,8.619782856,7.672848512
NADK,11.43897269,11.56886708,11.41518251,11.22797869,11.52475482,10.90632212,10.48564409,10.3647964,11.36395902,11.50643208,11.3873426,11.19082527,11.26839556,11.52474132,11.47664288,11.36536602,11.44316087,12.15291019,11.31821655,11.2818745,11.4245378,11.39896045,11.35904299
CSDE1,14.78891667,14.73001626,14.82361736,14.62799147,14.49027562,14.30226099,14.21650934,14.55670628,14.67781221,14.37653671,14.60582676,14.68399117,14.74273305,14.56963193,14.49186882,14.64801585,14.5010775,14.32572072,14.5625055,14.60934368,14.51942321,14.64940582,14.79833088
