gene,I0712,I0805,I0812,I0713,I0800,I0844,I0782,I0820,I0840,I0744,I0767,I0871,I0731,I0739,I0790,I0832,I0876,I0887,I0752,I0758,I0819,I0748,I0777,I0822
SCYL3,9.296731122,9.86691682,9.401965823,9.193626512,9.143558394,9.587911786,10.38077407,10.33595949,10.34583555,8.983059102,9.509504409,9.139443912,9.180719585,9.23334386,9.728909025,9.149236188,9.291025725,9.678502992,9.739305812,9.239992635,8.975034876,9.235193043,9.185792216,9.592344086
C1orf112,9.030700089,9.274890326,9.119272631,8.909640697,9.026385005,9.372352537,8.245272061,8.226018968,8.202216565,9.378887789,9.430195764,9.252844578,9.364246601,8.955283826,9.303152714,9.216358473,9.200918698,9.296825016,9.355381485,9.080091449,9.159205306,9.045376053,9.141621182,9.278453415
STPG1,7.996934825,8.310732844,7.866681229,7.900344122,7.939423665,8.106374137,7.736462546,7.537130054,8.009256038,7.816217602,7.985288713,7.629531431,7.797020354,7.76796847,7.949123792,7.727475557,7.600273474,7.966140997,8.191651476,7.660279359,7.862600688,7.743924386,7.705475411,7.942606626
NIPAL3,10.49179998,10.76551715,10.33165799,10.83987755,10.74833131,10.92694639,11.05965644,11.13996395,11.09427484,10.52723503,10.75142363,10.60315332,10.63150545,10.71352429,10.91306102,10.61202543,10.58327188,10.87138291,10.88927092,10.6509494,10.69769624,10.63699122,10.63581678,10.82524053
AK2,13.28191836,12.99092159,13.32505318,13.30012701,13.18143383,12.96616549,11.03440172,11.01917418,11.09177724,13.1241059,12.93967805,13.18771464,13.23333,13.24860526,12.96012854,13.16358892,13.23475751,12.9532008,12.91997491,13.22856469,13.20341179,13.30438914,13.21741867,12.9711717
KDM1A,12.51444228,12.11871144,12.39382814,12.44964027,12.4610404,12.22233619,11.54805765,11.54136348,11.48008317,12.56452439,12.26141857,12.44261527,12.58651,12.52466531,12.164221,12.49233107,12.35704958,12.1752365,12.20869346,12.36830705,12.5029507,12.42732745,12.52678659,12.18128894
TTC22,7.52295767,7.869167165,7.457578555,7.460566457,7.380446491,7.894598148,8.972476574,9.183569306,8.912025219,7.707176376,8.245108745,7.72832726,7.748715358,8.005510769,7.970603488,7.690182219,7.503075166,8.00735532,7.930182299,7.302717495,7.680154578,7.553284673,7.510859171,8.148477116
ST7L,7.910447937,8.246986284,7.801922419,7.927554808,7.776038856,7.803480229,8.667133646,8.548783437,8.539325784,7.832705508,7.98045544,7.978207568,7.754842675,7.539532814,8.146045309,7.813232608,7.999993225,8.036089544,8.199874349,8.018942677,7.997653337,7.869276849,7.858856838,8.010151571
DNAJC11,11.81448583,11.58628662,11.94196211,11.83499835,11.69520608,11.57867588,9.950511568,10.21360169,9.988503018,11.77485046,11.5319861,11.8379694,11.73510824,12.11755359,11.4570779,11.69958128,11.79698791,11.45007362,11.46575582,11.77282339,11.76221836,11.82516066,11.75179228,11.52068457
CDK11A,8.694593197,8.61338352,8.931485573,8.646936168,8.374315496,8.419299931,9.366635986,9.356391707,9.329522099,8.492208585,8.496007516,8.684990297,8.449738185,8.837191451,8.554380729,8.448341901,8.65792993,8.540012734,8.485350973,8.49538948,8.562997836,8.608730366,8.483772027,8.598126123
NADK,11.74511902,11.60293314,11.74287957,11.69553919,11.56180138,11.66640603,9.875821997,10.16860439,9.965495682,11.6168306,11.52660829,11.6754589,11.74399126,11.91681898,11.48253234,11.67640636,11.71200528,11.55605247,11.48607045,11.63491684,11.61628326,11.68608634,11.65254674,11.64700519
CSDE1,15.11562023,14.96922962,15.08630266,15.04442333,15.07867528,14.91049952,14.55372192,14.54704118,14.5048381,15.08079805,14.88318267,15.00793211,15.01411581,14.87243947,14.8895121,15.03424221,15.04469392,14.84674605,14.92340481,15.08108901,15.01906727,15.10319919,15.0684221,14.83298887
MASP2,8.017770042,8.310732844,8.113458053,8.349845579,8.091147973,8.18669482,10.10827319,9.880945732,9.968221549,7.978134174,8.30045293,8.056355376,7.877847524,8.073567256,8.315095914,8.001590548,8.174278651,8.129714691,8.42349681,8.068487889,8.063960779,8.242287819,8.077819858,8.301900901
FAM76A,8.675051986,8.820269834,8.295008307,8.393434292,8.711261277,8.883287679,9.73160807,9.605117813,9.56382117,8.589204264,8.86982843,8.389628939,8.55531654,8.276954545,8.930976235,8.543422464,8.368908458,8.909655002,8.920514979,8.53470086,8.685998835,8.340035875,8.738951941,8.779406278
TRAF3IP3,10.37150382,10.51118156,10.03328377,10.18733178,10.43474475,10.5357139,13.31857627,13.58928097,13.59227966,10.89682239,10.73358144,10.57971749,11.30657137,11.30511612,11.18867545,11.27180972,11.08860772,11.18987091,11.24165027,10.89636487,11.28557467,10.86208752,10.97621039,10.93706144
SPRTN,9.405475392,9.300237336,9.429021221,9.067199582,9.302130275,9.276786056,8.56654695,8.625221557,8.542987235,9.367616713,9.136346946,9.278690838,9.225530694,8.998440971,9.213660157,9.292988545,9.273448931,9.128249627,9.195977012,9.476764649,9.349340243,9.410434931,9.405089927,9.261922115
EEF1AKNMT,11.91230933,11.59207064,11.81028159,11.78044836,11.76262647,11.55326409,10.00239806,10.27607738,10.13882382,11.75768384,11.53322429,11.78156788,11.841139,11.94337039,11.54784725,11.80452006,11.73412646,11.62198141,11.57647461,11.68143705,11.77761327,11.78919698,11.77968144,11.5276161
SCMH1,9.924403973,10.14039091,10.13043689,9.974215959,9.814875931,10.00915796,9.347148247,9.325374566,9.512456172,9.76986695,9.973203682,9.985994781,10.02344515,10.13457987,10.01521337,9.84275132,10.02917508,9.977078005,9.958693337,9.991402766,9.764634071,10.0533737,9.856030129,10.17095389
ELOA,12.03491127,11.57334962,11.97492348,12.0157564,11.99702327,11.64195816,10.27786464,10.21750548,10.15685741,11.93772682,11.56424248,11.9649641,11.93418199,12.20684685,11.49648202,11.93459057,11.94542493,11.47021778,11.47933064,11.96690555,11.92225654,12.01100425,12.02296927,11.51080755
LYPLA2,11.61955179,11.39661481,11.65909299,11.6695843,11.59632675,11.61262239,10.28719132,10.25597313,10.51103389,11.60087584,11.4350727,11.68163649,11.75854877,11.98056331,11.47691449,11.79269259,11.72175881,11.63612768,11.45677742,11.57189264,11.84327595,11.55142092,11.60860277,11.55501389
CLCN6,10.12855858,10.17505801,10.0869312,10.36504008,10.2153667,10.0788139,10.39809509,9.983847964,10.33531657,10.19131086,10.16326277,10.28968946,10.30602485,10.52499057,10.14368413,10.23598491,10.35720569,10.19405163,10.07948193,10.26866356,10.17487153,10.18854361,10.18100642,10.23728785
NCDN,11.26062523,11.0809806,11.2526476,11.25945457,11.19961576,11.25030176,9.623836239,9.817202451,9.814632391,11.24977708,11.01752938,11.34605122,11.36782088,11.59495976,11.01929923,11.36527666,11.2485889,11.19178764,10.99050479,11.11195873,11.40550125,11.19217029,11.26750018,11.16679484
RUNX3,13.91483436,14.0677262,13.69091011,13.12181038,13.11841299,13.55731015,12.41743011,12.7239252,12.49089973,13.3178494,13.43319755,13.3873281,13.50013191,13.63084774,13.58846574,13.49382869,13.3619985,13.65817149,13.521286,13.19116961,13.52979665,13.55088144,13.57717987,13.87541303
GLRX2,7.899263215,7.579386632,7.81838667,7.76207406,8.091147973,7.973350865,7.209825689,7.125396872,7.190702797,7.943128128,7.931210691,7.889496176,7.991183916,7.639144384,7.807105046,8.095865594,7.760259145,7.892627456,7.757102631,8.003741137,7.921012929,7.999638676,8.046221506,7.819983107
PLEKHO1,9.073619826,9.914882226,9.177866874,9.611125332,9.387508875,10.0344229,12.81167502,12.61542915,12.89388999,9.417657237,9.952374454,9.626688336,9.428903747,9.871962568,10.18905688,9.494643438,9.601563132,10.32207201,10.19710885,9.57774124,9.540783596,9.230952056,9.131618994,10.09210084
GCLM,11.58768178,11.63503837,11.69241238,11.39185772,11.62104437,11.46186518,9.212647453,9.151280269,9.129749217,11.68840941,11.55898379,11.52456176,10.98424591,11.0515377,11.32416413,11.27180972,11.32380779,11.23704156,11.31918374,11.45985481,11.20705542,11.3719173,11.47802142,11.35456365
KPNA6,12.54526457,12.36492591,12.53437917,12.59058239,12.54297532,12.36724735,11.65314693,11.68455698,11.63735165,12.55792826,12.49687996,12.5698661,12.5858657,12.54300033,12.36410605,12.51383641,12.53631302,12.41917041,12.35232162,12.50233962,12.53486341,12.52798462,12.54126242,12.42133148
SLAMF7,13.16055276,12.92828695,13.16368279,12.98959232,13.21856272,12.89760283,7.915525803,9.263784224,8.169429098,11.04273595,10.81660237,11.06405902,12.55107907,12.5472808,12.21853213,12.47763161,12.48728147,12.165516,12.03056054,12.5093084,12.28570872,12.55495424,12.49495558,12.00914746
SH2D2A,11.57982199,11.43645372,11.59603353,11.84644949,11.71950465,11.71252851,8.646990086,9.0556635,9.026299056,11.76342877,11.69832852,11.80681811,11.93788946,12.18366213,11.70147198,11.91006553,11.83143008,11.78871492,11.6931993,11.75817743,12.04306495,11.70340879,11.72376953,11.78886031
TNFRSF1B,13.05142867,12.92472621,13.14197629,13.15973959,12.995448,13.06489771,10.89982244,10.84254175,10.96309105,12.96836144,12.78871197,13.04543663,13.27762458,13.57229785,13.19096518,13.25788902,13.29407133,13.25904875,13.27235009,13.14788998,13.35063365,13.27018157,13.18060083,13.2283813
SARS1,12.79557489,13.08689595,13.17970122,13.13456457,12.67391388,13.14130693,11.70068705,11.75608318,11.86904047,12.73538593,13.05809738,13.05396573,12.79432151,13.41207818,13.14668573,12.7230974,13.13040878,13.17934016,13.13020795,13.03356728,12.75806495,13.19065955,12.79383206,13.15716416
LRRC7,7.103000261,7.076691306,7.060833824,6.765732875,6.880336182,6.389270545,8.461716792,7.553694742,7.804858858,6.968238722,6.761245598,6.791837986,6.980523705,7.082251943,6.852169008,6.770538477,6.93054934,6.550610987,6.622274011,7.181859404,6.844723373,7.045567338,7.051298819,6.876311927
ZZZ3,12.21991155,12.12935753,12.11645821,11.96149883,12.074424,11.96113732,11.15443664,11.1522528,11.17376984,12.07456613,11.93218701,11.94125313,12.00914487,11.74783789,11.89679098,11.9676946,11.9815058,11.86437044,11.96573454,12.04910976,11.91822931,12.10205702,12.13985179,11.86335053
FBXO42,10.0661674,10.18359618,9.962828581,10.16005894,10.237971,10.15757789,10.50587999,10.47071914,10.50729033,10.21561164,10.23603704,10.15536219,10.27970626,10.24305213,10.22859558,10.18729549,10.18458099,10.25276432,10.2415995,10.17224468,10.19424457,10.19400068,10.1870557,10.24010389
SLC66A1,6.621385262,6.767014825,6.628416133,7.009324746,6.735349465,7.021739856,8.194625901,8.140876565,8.261198585,7.017146785,7.228869735,6.940547694,6.717394419,7.208698931,6.99527063,6.970424228,6.755915825,7.184902567,7.182965105,6.718655426,6.486958182,6.815687244,6.846407801,7.152247676
THAP3,8.501012839,8.481105315,8.737354859,8.576482088,8.37839085,8.527653112,8.790316311,8.915304912,8.964844228,8.467785283,8.549201408,8.623974487,8.508941154,8.732819853,8.466399155,8.487998784,8.520644726,8.563889129,8.475224358,8.350700523,8.576689443,8.340035875,8.431734742,8.507539976
TRIT1,10.83406576,10.55790272,10.76760019,10.80801916,10.84353021,10.54511979,9.298168064,9.183569306,9.419909719,10.83337505,10.73429938,10.67480327,10.86680896,10.77540617,10.71014376,10.772287,10.84858655,10.61559317,10.58470015,10.76353297,10.80045741,10.88925314,10.88463505,10.54002583
