source	interaction	target
TCR	1	RAS
CD28	1	RAS
RAS	1	RAS
IL2_EX	1	RAS
IL2R	1	RAS
RAS	1	RAF
RAF	1	MEK2
MEK2	1	ERK
ERK	1	FOS
TCR	1	PKCTHETA
CD28	1	PKCTHETA
MTORC2	1	PKCTHETA
PKCTHETA	1	TAK1
TAK1	1	MKK7
MKK7	1	JNK
JNK	1	JUN
FOS	1	AP1
JUN	1	AP1
TCR	1	CA
CA	1	NFAT
PKCTHETA	1	NFKAPPAB
AKT	1	NFKAPPAB
AP1	1	IL2
NFAT	1	IL2
NFKAPPAB	1	IL2
FOXP3	-1	IL2
IL2	1	IL2
CD25	1	IL2R
CD122	1	IL2R
CD132	1	IL2R
TCR	1	PI3k
CD28	1	PI3k
PI3K	1	PI3K
IL2_EX	1	PI3K
IL2R	1	PI3K
PI3K	1	PIP3
PTEN	-1	PIP3
PIP3	1	PDK1
PDK1	1	AKT
MTORC2	1	AKT
AKT	-1	TSC
TSC	-1	RHEB
RHEB	1	MTORC1
PI3K	1	MTORC2
S6K1	-1	MTORC2
MTORC1	1	MTOR
MTORC2	1	MTOR
MTORC1	1	S6K1
S6K1	1	PS6
TGFBR	1	SMAD3
IL2R	1	JAK3
IL2_EX	1	JAK3
JAK3	1	STAT5
AP1	1	CD25
NFAT	1	CD25
NFKAPPAB	1	CD25
STAT5	1	CD25
FOXP3	1	CD25
TCR	-1	PTEN
PTEN	1	PTEN
FOXP3	1	PTEN
TGFBR	1	PU1
STAT1	1	IRF1
RUNX3	1	TBET
IFNAR	1	STAT1
IFNGR	1	STAT1
IL27R	1	STAT1
IFNBR	1	STAT1
IL6R	1	STAT3
IL23R	1	STAT3
IL1R	1	STAT3
IL21R	1	STAT3
IL27R	1	STAT3
IL10R	1	STAT3
IL12R	1	STAT4
GATA3	-1	STAT4
IL4R	1	STAT6
TGFBR	1	MAF
STAT3	1	MAF
IFNG_EX	1	IFNGR
IFNG	1	IFNGR
IFNB_EX	1	IFNBR
STAT3	1	IL1R1
IL1A_EX	1	IL1R1
IL1R1	1	IL1R1
IL1B_EX	1	IL1R1
STAT3	1	IL1R
IL4RA	1	IL4R
IL4	1	IL4R
IL4_EX	1	IL4R
STAT5	1	IL4RA
IL6_EX	1	IL6R
IL6	1	IL6R
proliferation	1	IL6
STAT3	1	IL6
NFAT	1	IL6
IL12_EX	1	IL12R
IL12RB1	1	IL12R
IL12RB2	1	IL12R
STAT6	-1	IL12RB2
IRF1	1	IL12RB1
IL21_EX	1	IL21R
IL21	1	IL21R
IL23_EX	1	IL23R
STAT3	1	IL23R
RORGT	1	IL23R
IL23	1	IL23R
IL27_EX	1	IL27R
TGFB	1	TGFBR
TGFB_EX	1	TGFBR
IL10	1	IL10R
IL10_EX	1	IL10R
MTORC1	1	TBET
IL12_EX	1	TBET
IFNG_EX	1	TBET
NFKAPPAB	1	TBET
NFAT	1	TBET
AP1	1	TBET
IL4	-1	TBET
IL10	-1	TBET
GATA3	-1	TBET
proliferation	1	IFNG
TBET	1	IFNG
AP1	1	IFNG
NFAT	1	IFNG
MTORC2	1	GATA3
IL4_EX	1	GATA3
STAT5	1	GATA3
NFAT	1	GATA3
TBET	-1	GATA3
TGFB	-1	GATA3
IFNG	-1	GATA3
proliferation	1	IL4
GATA3	1	IL4
TBET	-1	IL4
IFNG	-1	IL4
NFAT	1	FOXP3
AP1	1	FOXP3
STAT5	1	FOXP3
MTOR	-1	FOXP3
SMAD3	1	FOXP3
proliferation	1	IL10
FOXP3	1	IL10
TGFB_EX	1	IL10
FOXP3	1	TGFB
CD28	1	RORGT
MTORC1	1	RORGT
IL21_EX	1	RORGT
TGFB_EX	1	RORGT
TBET	-1	RORGT
FOXP3	-1	RORGT
GATA3	-1	RORGT
IL21_EX	1	IL21
IFNG	-1	IL21
IL4	-1	IL21
IL10	-1	IL21
RORGT	1	IL21
RORGT	1	IL17
proliferation	1	IL17
STAT1	1	BCL6
TBET	-1	BCL6
STAT5	-1	BCL6
STAT3	1	BCL6
STAT4	1	BCL6
proliferation	1	IL22
NFAT	1	IL22
STAT3	1	IL22
MAF	-1	IL22
STAT1	1	IL22
NFKAPPAB	1	IL9
proliferation	1	IL9
SMAD3	1	IL9
STAT6	1	IL9
NFAT	1	IL9
PU1	1	IL9
STAT5	1	proliferation
