ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
MIR155HG,9.136168224000002,15.106836222416668,55.059341041543725,2.9476239813037644e-23,3.4622791284394014e-19,42.80927082360371
EPOP,6.775490593999999,11.9856709695,50.181686675617186,1.8496807081994364e-22,1.086317479925529e-18,41.187425706528344
IRF4,5.894989920000004,15.631847196666667,47.79277678200884,4.853665721578376e-22,1.9003719188553203e-18,40.31735904136531
BCL2L1,4.8706283883333334,12.960775797708333,44.6345628135638,1.8738926715682507e-21,5.502685830060168e-18,39.08002764203658
MTHFD1L,5.3136449416666665,12.839373682708333,41.8630997764344,6.639816421991407e-21,1.5598256738542212e-17,37.90291232568065
SLC1A5,5.924915733999999,12.927700714083333,41.28532953342717,8.733146224814524e-21,1.7096589259445233e-17,37.645751439093644
SNHG3,2.947182709999998,12.869114737083333,40.33271324109868,1.3835741338163266e-20,2.1873760810701474e-17,37.21231620685547
PNPT1,3.5259824633333334,12.5534783125,40.18160671035685,1.4897844924707287e-20,2.1873760810701474e-17,37.14245701740033
PYCR1,6.228559203,11.527546140041666,39.31893376039456,2.2845117719498522e-20,2.9815416970358846e-17,36.73765051564648
NDFIP2,6.904769069,12.869737395125,38.436764444966244,3.5712156508182115e-20,4.1947499034510706e-17,36.312862028853914
DUSP5,5.609948136999997,10.903834802875,37.523873721430824,5.730853129493479e-20,6.026122622949132e-17,35.86125697429713
LAP3,3.6045910633333342,11.61359886875,37.38746314574626,6.156433805158317e-20,6.026122622949132e-17,35.79269204839334
IARS1,3.0169287600000025,14.423065992083334,36.754687649711634,8.61192653588654e-20,7.781206853117177e-17,35.470852221941
RBBP8,4.221696927333337,10.26802464825,36.59693983668325,9.371742430618179e-20,7.862891899288652e-17,35.38963487149538
TWNK,3.2663756680000002,11.5502352415,35.6438115420035,1.574029281768631e-19,1.127775182753335e-16,34.890309198857764
IRF8,8.424798168666669,13.378212400583333,35.55528133526949,1.6528195944447104e-19,1.127775182753335e-16,34.843165492577725
CHSY1,3.6278915353333296,12.471003675166667,35.408750103968956,1.7924561880554796e-19,1.127775182753335e-16,34.76484405436648
TSPAN32,-3.819388461333335,6.402124206083333,-35.3739457281154,1.8274082823792844e-19,1.127775182753335e-16,34.74618737817918
MTHFD2,5.55891922,13.560846858333333,35.373012733527,1.8283550217971207e-19,1.127775182753335e-16,34.7456869678881
ENO1,3.9890229266666655,16.651655308333332,35.20257166643334,2.0102488372407604e-19,1.127775182753335e-16,34.65402133932147
PUS7,4.607410454333332,11.564652455708334,35.126199435579004,2.0978234966698862e-19,1.127775182753335e-16,34.61278537079177
CD274,5.106370731999999,11.762036063083334,35.106737126883814,2.1207745713061534e-19,1.127775182753335e-16,34.60226091451226
IL12RB2,6.984856589999998,11.707092178749999,35.034483433980235,2.208311697882403e-19,1.127775182753335e-16,34.563131596771434
PLAGL2,4.271980316666667,13.785848420416666,34.70687120819189,2.6555260955974204e-19,1.2996587299536375e-16,34.384569874544916
