ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
GZMB,6.594613767000002,12.584756562565218,32.006872456307484,6.268127352734978e-18,5.747103019530681e-14,30.988297520257923
EPOP,5.985868196666669,11.924161876086956,31.29913174433588,9.49463575009199e-18,5.747103019530681e-14,30.608215235214836
LTA,6.901295190666671,14.405908371217391,30.430847821507864,1.6001996509914017e-17,6.45733899163397e-14,30.12744180745731
LIF,7.035365374000001,12.528447087304349,29.475437636410277,2.890157813468504e-17,8.747062622462427e-14,29.579072046286775
ZNF815P,-3.5828098580000027,7.229126130304348,-28.312889728954385,6.085881740332009e-17,1.2422572420991887e-13,28.88279087046927
SORL1,-3.665101306666669,11.776294050869565,-28.22958136070969,6.426642317183375e-17,1.2422572420991887e-13,28.831616274893705
MIR155HG,7.828298239000004,14.02655888752174,28.06015856644078,7.183050301250885e-17,1.2422572420991887e-13,28.727000184746423
VIPR1,-3.692290735000002,7.496225359782609,-27.064671886116678,1.3996086951669069e-16,2.1179578579613217e-13,28.09719744568455
IL2RA,6.029199946666665,14.294241766956521,26.881292833675236,1.5866367336338864e-16,2.134202699707981e-13,27.978283652203345
VDAC1,2.6148711700000025,13.307464374347827,26.54771835736064,1.9974460380373622e-16,2.4181081736480304e-13,27.759586750309417
ZBED2,6.164441041000003,12.653545833347826,25.797731434272883,3.3863567327287997e-16,3.726839509674077e-13,27.256313710264514
KPNA2,3.5343448329999987,12.257052852217392,25.633211476413564,3.8095000927373694e-16,3.843150676889883e-13,27.143711887706246
NME1,4.698867139666666,10.842727936565216,25.426231429822632,4.4222540492574864e-16,3.867252970569101e-13,27.000895327445186
SCFD2,2.9310398216666664,10.139661161956521,25.410682510908266,4.472289904837883e-16,3.867252970569101e-13,26.99011416716634
HSP90AB1,3.6646355500000034,16.81760978173913,24.42027213359569,9.284030862460797e-16,7.492831841396694e-13,26.287883359601686
STIP1,2.949026446666668,13.604390193478261,23.911994255751004,1.365413861355987e-15,1.0331062628484736e-12,25.91521529655602
ZNF862,-2.3864812916666676,9.28974500352174,-23.347038187867852,2.1156462793952228e-15,1.4119068040571102e-12,25.490726081270346
ACOT7,3.3696361736666693,10.473165700826087,23.31799222289249,2.1643966122468187e-15,1.4119068040571102e-12,25.468601994389694
UCK2,3.829984604333335,10.80010946552174,23.28801788539942,2.215944926241954e-15,1.4119068040571102e-12,25.445739553337617
TNFRSF9,6.720674905666668,12.382554624913043,23.216148978951427,2.34486899680587e-15,1.419349203766593e-12,25.390793125676844
MCM2,3.166751868333332,11.776703393695652,23.13372185679494,2.5024993115935472e-15,1.4426312698167373e-12,25.327548372662115
AHCY,2.2997249863333344,11.698134244826086,23.045857232484142,2.6828545903534047e-15,1.4763017123099234e-12,25.259863847269095
GRAP,-2.4870207483333333,6.704433140391305,-22.634326893878438,3.729076209913161e-15,1.9627911564003793e-12,24.939120818247318
BATF3,5.205223424333333,10.199171901739131,22.50926679398524,4.12609803999915e-15,2.060553499552697e-12,24.84041315889042
B4GALT2,3.946540393666668,9.82056751,22.471301349030295,4.2552319088730735e-15,2.060553499552697e-12,24.810331993883786
ATP1B3,2.6135531133333334,12.775310661304347,22.392048713651164,4.538680414489102e-15,2.0828944401205243e-12,24.747362980185976
SLC39A14,4.094719154666668,11.845620004608696,22.36352943868078,4.64547743955511e-15,2.0828944401205243e-12,24.724645376487352
TUBA1B,3.2810538933333326,13.256056390434782,22.222399383403374,5.214250367491826e-15,2.254418391030573e-12,24.611770460846742
PRDX4,2.761540174666669,10.595168590695652,22.102209725929,5.756317396534828e-15,2.4029647724982977e-12,24.5150423757702
FKBP4,3.377316129999997,12.996600775217392,22.0159165473869,6.181841615254619e-15,2.468798328391052e-12,24.445249950473166
SLC29A1,4.886958173333334,11.327198112608695,21.905695794804636,6.773976507473366e-15,2.468798328391052e-12,24.35568366921271
LINC00426,-3.2162346706666654,6.678674979,-21.888822438850056,6.869759859937469e-15,2.468798328391052e-12,24.34193026774788
RASGRP2,-4.501905657333335,9.187014325086956,-21.85698473036374,7.054387108611081e-15,2.468798328391052e-12,24.315949006438064
MRTO4,3.6271341626666675,12.192609733130436,21.83476251186826,7.186339146987899e-15,2.468798328391052e-12,24.297790842760758
SLC25A5,1.966205369999999,12.947011198260869,21.830762493326958,7.210364814009557e-15,2.468798328391052e-12,24.29452028935489
NOP16,3.5526901083333335,11.41141178021739,21.80916656060388,7.341544673887153e-15,2.468798328391052e-12,24.276851795291822
SRM,3.8342339233333345,13.188821005652173,21.658863757076002,8.326909901810292e-15,2.7244748992247403e-12,24.15337067132208
STK38,-2.264438976666666,10.951147440434783,-21.598626239498582,8.759989034163801e-15,2.7336691138445553e-12,24.10362956322254
CNPY4,-2.755102394666669,8.006312814347826,-21.568531144670484,8.985165326036756e-15,2.7336691138445553e-12,24.078723971793945
ETF1,2.678580560000004,13.309152296086957,21.562313034310655,9.032443792646806e-15,2.7336691138445553e-12,24.073573548308396
CCDC86,3.7076517100000004,11.233565523043477,21.498837596161174,9.53029873149326e-15,2.813995035206278e-12,24.020907957824907
NCS1,3.800571314000001,10.744470009043479,21.4601067834195,9.848169837494769e-15,2.838617715540754e-12,23.98869288806331
BYSL,3.813144830333333,10.986137983,21.403757243237546,1.0330681930655882e-14,2.9084473361051185e-12,23.94171425155437
DCTPP1,3.1232244710000003,10.904947145956521,21.302692846732654,1.1259360851779961e-14,3.077512644261729e-12,23.857131904981216
SPON1,-4.971134601333335,7.864179317217391,-21.28409346867932,1.1439622417956203e-14,3.077512644261729e-12,23.841520134324753
SUN2,-2.732419373333334,11.829247706086957,-21.15368797287316,1.2791813761777285e-14,3.304313065466177e-12,23.731660298468817
CCT5,2.8145669600000023,13.581152424782609,21.150348243339742,1.2828573771428244e-14,3.304313065466177e-12,23.728837488443194
