ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
MIR155HG,9.223528807333338,15.106836222416668,55.585821731632464,2.441105110965941e-23,2.867322063340594e-19,42.94245548565963
EPOP,7.173581597333335,11.9856709695,53.13008985329203,5.97433142345857e-23,3.508724844997218e-19,42.16351131126199
BCL2L1,5.418335468333336,12.960775797708333,49.65376446816981,2.2801798399388022e-22,8.927664133307058e-19,40.97642939339026
IRF4,5.587789109999999,15.631847196666667,45.302190718448195,1.3976517269357506e-21,4.1042042961468314e-18,39.33221688877236
MTHFD1L,5.292597541666668,12.839373682708333,41.697279625500855,7.180390534772751e-21,1.6868173444288145e-17,37.81541347646264
PYCR1,6.445469936333335,11.527546140041666,40.688222945563446,1.1638374970228474e-20,2.09250356624979e-17,37.362443059525155
SLC1A5,5.818805973999998,12.927700714083333,40.54594747214757,1.2470223875147736e-20,2.09250356624979e-17,37.29750505957077
SNHG3,2.8894102333333347,12.869114737083333,39.54208674661012,2.043556030497133e-20,3.0004511417774157e-17,36.83155678329977
NDFIP2,7.050263452333333,12.869737395125,39.246687743539184,2.368768545727588e-20,3.091506148679583e-17,36.691798837761866
DUSP4,6.895313418999998,13.660650950541667,38.43022819437205,3.5831896024792574e-20,4.2088145070721354e-17,36.29905124921095
CHSY1,3.849460175333336,12.471003675166667,37.571292321184295,5.590243453194651e-20,5.969363600111307e-17,35.875295025949754
IARS1,3.0431095799999994,14.423065992083334,37.07364375973699,7.266421509154859e-20,7.112615587211081e-17,35.62464374833195
RBBP8,4.205565534000003,10.26802464825,36.45710042104931,1.0104168618785309e-19,9.12950496894248e-17,35.30871233267539
DUSP5,5.367599607000002,10.903834802875,35.902850600679244,1.3653284568665776e-19,1.1455105753110586e-16,35.01946190306649
ENO1,3.9855043366666667,16.651655308333332,35.17152059981456,2.0453824961715268e-19,1.6016708533353836e-16,34.629959939414476
PLAGL2,4.294215870000002,13.785848420416666,34.88751962615677,2.3982691635136266e-19,1.760629349664441e-16,34.4762341242072
BCL2A1,4.962056725333337,11.825533463916667,34.600128818805324,2.8210046971730865e-19,1.8699314645280081e-16,34.31923583459933
PUS7,4.5302601110000005,11.564652455708334,34.53801690369687,2.922243075484646e-19,1.8699314645280081e-16,34.28511266656872
TWNK,3.159485267999999,11.5502352415,34.47738683752905,3.024748665591023e-19,1.8699314645280081e-16,34.251737258427816
TSPAN32,-3.697533016666667,6.402124206083333,-34.24535984847715,3.4532357596691353e-19,1.9861207957720315e-16,34.12340280972917
ESPL1,4.187270940333334,9.289555726791667,34.19672238050626,3.5508715061478513e-19,1.9861207957720315e-16,34.0963781728769
TTC27,2.344902712333333,11.328692103041666,33.80813344719766,4.443042923528454e-19,2.3721810081711463e-16,33.878913477889945
PPIL1,3.0076410890000016,11.315478734291666,33.582577508683364,5.066199546639853e-19,2.557197835914983e-16,33.75140649375632
TNFRSF4,6.5155828240000035,12.171321182,33.497756151444726,5.323704100105527e-19,2.557197835914983e-16,33.70321060940088
MTHFD2,5.258287043333336,13.560846858333333,33.46000313715121,5.44269929319552e-19,2.557197835914983e-16,33.68171561086852
UTP4,3.259313065999997,12.689850984666666,33.23186520479509,6.223756509635178e-19,2.8117016908528774e-16,33.55124869160228
TNFSF14,6.014807293000001,12.415435160458333,32.08726371207172,1.2365087983353767e-18,5.379271238980493e-16,32.8814031920241
RANBP1,3.088130619000001,12.648545023875,31.783696788927827,1.4893302538588394e-18,6.247740414937831e-16,32.69934182949591
EZH2,4.3117083486666665,12.529375513916667,31.646366735649536,1.6210097789241253e-18,6.565648573531992e-16,32.616354272350556
FABP5,6.113481590000001,11.33102036625,31.5840167646605,1.6847743231236235e-18,6.596453066470028e-16,32.578546862951974
IRF8,7.400134342,13.378212400583333,31.230879741091822,2.0991801573738557e-18,7.9538613317784865e-016,32.36286817588373
SLC29A1,6.566113752000002,11.814416496,31.130834925935385,2.2350966080025536e-18,8.007800427521785e-16,32.301283435490994
SDC4,4.454603056333336,9.920985539333333,31.094072526320904,2.287333396696272e-18,8.007800427521785e-16,32.27859954409897
WDR43,3.313459793333335,13.54978941375,31.06000254351723,2.336888642289674e-18,8.007800427521785e-16,32.257550984558854
PNPT1,2.7226464766666663,12.5534783125,31.02690131740921,2.3861145493211513e-18,8.007800427521785e-16,32.23707692479148
DDX21,4.255963846666665,15.50225827125,30.922609129115898,2.5484510877559717e-18,8.31502957688379e-16,32.17241401717564
ANP32A,1.9074822299999994,13.414489554166666,30.836827743798597,2.6906505590014106e-18,8.355356993371069e-16,32.119050765300194
NPM3,3.183255518000001,10.922009034833334,30.82955803979274,2.7030782032019463e-18,8.355356993371069e-16,32.114521010496745
PFAS,3.2887643230000005,12.475251765041667,30.695004611173825,2.9443033814521764e-18,8.867637825265965e-16,32.03047144111485
POLR3B,2.620260502333334,10.436422162625,30.50905459448119,3.315470386310954e-18,9.570047021280806e-16,31.91365888779397
IL2RA,7.662085340000002,13.654316530416667,30.497324504988452,3.340472738570688e-18,9.570047021280806e-16,31.906264364014618
ARHGAP31,3.000459399666667,10.655272550875,30.232525801696895,3.9608209786946745e-18,1.0957926394030521e-15,31.73851719595043
METTL1,3.9227793953333334,10.103085673083333,30.212850093647976,4.011500382626531e-18,1.0957926394030521e-15,31.725989729603953
TGS1,2.3352653756666673,12.122681443875,30.141679796438495,4.200570825893337e-18,1.1213614754759804e-15,31.68060238975211
HOMER1,4.118259504333335,10.311516069041668,30.056077184855056,4.440438762018939e-18,1.1590531933038769e-15,31.62585822678762
SPON1,-4.803255356333336,8.460403561875,-29.983800542689828,4.654149739281413e-18,1.1884270182086842e-15,31.57950560313507
ODC1,4.937191070000003,14.58869169375,29.88893796140503,4.9511479095486534e-18,1.237365603096989e-15,31.5184857066383
C1orf109,2.361430101333333,11.076756199,29.798271778988337,5.253630116126949e-18,1.281818981309803e-15,31.459970608350673
UCK2,5.451242175000001,10.944105803958333,29.77077035398048,5.349165975439696e-18,1.281818981309803e-15,31.442183708691246
SLC7A5,7.255515334666665,15.599645181083334,29.719907151870313,5.530691174769409e-18,1.281818981309803e-15,31.409240835196584
SCD,3.535011940666667,11.7971014145,29.710344628307833,5.565534483807249e-18,1.281818981309803e-15,31.40304067369759
WDR12,3.635730221000001,12.260694330708333,29.579665515063795,6.065467749533306e-18,1.3700958497311196e-15,31.318096033617252
VARS1,2.9429662866666693,12.755170880416667,29.32272586406573,7.190830049912375e-18,1.5936507503069955e-15,31.14990253485623
BANF1,2.355866377333335,11.4708712045,29.256567439441028,7.514695486944556e-18,1.614554910537241e-15,31.10634021139085
ZFP36L2,-2.431578666666665,11.680387042083334,-29.24753906248113,7.560064709649945e-18,1.614554910537241e-15,31.100387287919062
SPHK1,3.5593329349999996,9.114609031791666,29.103373623511835,8.32478181938563e-18,1.746122986616136e-15,31.005064564145485
TAGAP,3.3710127833333328,13.49903212375,29.05197015107476,8.616717563335294e-18,1.7756484999813397e-15,30.97095470434448
ETS2,2.8132572950000014,12.137504201458333,28.937708641485305,9.304785908256602e-18,1.8843795737652076e-15,30.894903469314087
ATP1B3,3.5034872370000034,13.064443964125001,28.85214508382037,9.857654936788352e-18,1.9625087269070506e-15,30.837743920421126
SLC16A1,4.294554249333334,12.215246304666666,28.718514906220406,1.079108612370359e-17,2.0849959711089243e-015,30.7481129952535
MPZL3,2.6598130353333325,11.914513605166666,28.696562381979952,1.0953088510433823e-17,2.0849959711089243e-015,30.733346268897826
CDC14B,-2.835044579333333,6.990999211375,-28.68954280476608,1.1005427397305748e-17,2.0849959711089243e-015,30.72862190646581
BOLA3,2.463377642000002,9.393492098291667,28.50812784403406,1.2453198208873594e-17,2.321829621609988e-15,30.606097946902167
PARK7,2.084557106666667,12.373873810416667,28.434565386384676,1.3095987930337784e-17,2.4035230348398063e-15,30.556179875565036
GART,2.4252407900000037,12.8963593825,28.297716604534653,1.4386117430332437e-17,2.599682082102843e-15,30.462952445187668
WARS1,5.056176109666666,14.412906820458334,28.188801952743255,1.550794693701831e-17,2.7506695248330848e-15,30.388413893370434
POLR2K,2.091824067000001,10.954724586208334,28.171908499835702,1.569001005991969e-17,2.7506695248330848e-15,30.37682519136844
SRGN,2.855259403333335,13.44530125375,28.043914907380508,1.7144402963843253e-17,2.9614434884309245e-15,30.28878427114406
PAICS,4.139312376666668,13.899407264583333,27.961959768937245,1.814937388762869e-17,3.0896021113635737e-15,30.23218838501696
TAF4B,1.9778185806666695,11.2121621345,27.857305502187593,1.9523315842644467e-17,3.276012398395742e-15,30.159662665889968
YBX3,4.479468501333336,12.12226410525,27.702265953466465,2.1762682899367682e-17,3.591287748047787e-15,30.051691370054407
SRFBP1,2.7850346843333362,10.709742571541668,27.66561286709018,2.2330478415179622e-17,3.591287748047787e-15,30.02607294904061
"NAMPT",5.7399895406666666,14.850761031583334,27.647080564145504,2.2623457909391306e-17,3.591287748047787e-15,30.01310635612107
MIX23,2.2996129076666687,10.287960603624999,27.646972758980045,2.2625173961819868e-17,3.591287748047787e-15,30.013030900828475
TXN,4.260202374999997,12.495631721875,27.572836018463626,2.3838246944434225e-17,3.733387314790992e-15,29.961067651277816
KARS1,2.3362439800000008,13.822889112916666,27.528305503984296,2.459951149927705e-17,3.8019192377698455e-15,29.929785221198166
EARS2,1.9436859423333352,10.629153190958334,27.463264374655097,2.575755218935754e-17,3.929197506703814e-15,29.8839987379014
EBNA1BP2,4.025187095333335,12.527755505583333,27.43146072315704,2.6344491359544438e-17,3.967210198836013e-15,29.861568792392355
DNAJA1,3.8859051299999976,14.025013705,27.37765221620028,2.7369698198854936e-17,4.039690039897391e-15,29.823557535168923
C1QBP,3.2786075333333358,13.610132759999999,27.357966043124794,2.7755158655445708e-17,4.039690039897391e-15,29.80963133585933
RCN1,3.608826455,10.797238606458333,27.31710258373762,2.857356611402104e-17,4.039690039897391e-15,29.780690597777976
PSMB3,2.609370399333333,12.1836866405,27.308175622317208,2.8755699538299294e-17,4.039690039897391e-15,29.7743622247457
PNPO,2.718183058000001,10.4351156765,27.30030072999232,2.8917378929879546e-17,4.039690039897391e-15,29.76877787246392
PRDX4,3.533823806000001,10.93259934425,27.290434326624805,2.912129276754205e-17,4.039690039897391e-15,29.761778893779876
NFKB1,3.815224996666668,14.942704925833333,27.285048439919347,2.923324139207205e-17,4.039690039897391e-15,29.757957164218396
KPNA2,4.424039801000001,12.492770027791666,27.203642558388655,3.0981398093898124e-17,4.231482581522412e-15,29.700096737452043
ADO,2.626149958666666,11.398577656,27.175284788602415,3.1615835252787064e-17,4.268501159531458e-15,29.679898522915423
NOP16,3.986355100000001,11.7833020625,27.115325003883825,3.300258019272737e-17,4.390255515394034e-15,29.63711874213218
CTTN,5.222266479333334,10.43330442675,27.104268982581747,3.3265174601572367e-17,4.390255515394034e-15,29.62921976576051
SCFD2,3.0404361563333326,10.271746220458333,27.068125728540384,3.413902219597056e-17,4.3964496462359596e-15,29.603373720587285
ACOT7,3.571643158333334,10.359503503541667,27.063400655352673,3.425502899714883e-17,4.3964496462359596e-15,29.59999215810256
DPP3,2.393730040666668,11.272353495333334,27.056103862231502,3.443498786426939e-17,4.3964496462359596e-15,29.59476889892671
RRAS2,3.014215349333335,10.746472534666667,26.982109981042093,3.631690290713399e-17,4.560372200057465e-15,29.5417187380243
CYCS,4.006704951999998,13.492391136,26.97530156960489,3.6495401566950597e-17,4.560372200057465e-15,29.536829803806434
SOCS3,3.9898412359999993,10.518475302583333,26.878995197995916,3.9121264080905366e-017,4.8370354515190994e-15,29.46753673109142
RPL22L1,3.151801121666667,11.398374541875,26.693566045491096,4.4750877826894815e-17,5.433769569506744e-15,29.333388118343855
LMNA,3.808759176333334,12.250622145458333,26.689826750812593,4.487277781731263e-17,5.433769569506744e-15,29.330672966341275
NOP58,2.725361706666664,13.791326105833333,26.66285239184089,4.576251782985299e-17,5.484964637035237e-15,29.311074799823032
RPF2,4.043441637999999,11.984665676916666,26.580781600014227,4.8585196987818776e-17,5.764461856756761e-15,29.2513194825195
PSMD14,3.5845000596666665,12.101201077958333,26.54198547224914,4.998253131785285e-17,5.814280971252049e-15,29.223005489729836
CDC42SE1,-1.773727986666664,12.6209607925,-26.54164184966032,4.9995094338196577e-17,5.814280971252049e-15,29.222754516921718
