ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
VIPR1,-4.05286605066667,7.496225359782609,-29.70770660606576,2.4990576768856708e-17,1.3149685106427842e-13,29.63991413263001
GZMB,6.091358753666668,12.584756562565218,29.56433077094583,2.733371125272253e-17,1.3149685106427842e-13,29.557670733117675
LIF,6.965493440666666,12.528447087304349,29.18270148071419,3.4768753446095433e-17,1.3149685106427842e-13,29.336397222691943
SORL1,-3.7099532233333363,11.776294050869565,-28.57504270673644,5.1321671936636546e-17,1.3149685106427842e-13,28.97681476739197
LTA,6.436045757333334,14.405908371217391,28.37935830922664,5.827647760249357e-17,1.3149685106427842e-13,28.85907504786892
EPOP,5.394737493333334,11.924161876086956,28.208205390151363,6.51727330568041e-17,1.3149685106427842e-13,28.755303601258
MIR155HG,7.531690295666667,14.02655888752174,26.996981657756415,1.4657918504948153e-16,2.3542476460292005e-13,27.999097490283106
ZNF815P,-3.405277261000002,7.229126130304348,-26.90995152085149,1.5557559200589464e-16,2.3542476460292005e-13,27.943241993258553
IL2RA,5.649379376666666,14.294241766956521,25.187856215759087,5.258545067549893e-16,7.073327398639889e-13,26.7932524296397
ZBED2,5.8946259843333335,12.653545833347826,24.66857530762418,7.710560036278608e-16,9.334403979918883e-13,26.428868270058558
VDAC1,2.396803580000002,13.307464374347827,24.333767234794095,9.908672676752693e-16,1.0904944674978918e-12,26.189342252366913
ZNF862,-2.4618035693333304,9.28974500352174,-24.083918924884912,1.1973649873070731e-15,1.207941711361619e-12,26.008192655458487
KPNA2,3.2689718963333316,12.257052852217392,23.708566053539066,1.596809923348088e-15,1.4869985332347657e-12,25.73209523955113
NME1,4.208820159666669,10.842727936565216,22.774518249898698,3.331310229661263e-15,2.8272826199641337e-12,25.023652372260294
RASGRP2,-4.677993853333334,9.187014325086956,-22.711902026309264,3.5031587063821247e-15,2.8272826199641337e-12,24.97503178639564
SCFD2,2.549783671666666,10.139661161956521,22.105378055006202,5.741292402683764e-15,4.207312161968008e-12,24.49644003044878
LINC00426,-3.2429541299999993,6.678674979,-22.070667845326003,5.908170060586167e-15,4.207312161968008e-12,24.468624966978016
TNFRSF9,6.351595332333336,12.382554624913043,21.94118679436939,6.577059797395475e-15,4.423438105959424e-12,24.364450126179545
GRAP,-2.3943546209999997,6.704433140391305,-21.7909742923941,7.453995756915484e-15,4.749372243853623e-12,24.24276879612514
AHCY,2.1556919930000014,11.698134244826086,21.6024829938889,8.731563787798419e-15,5.108387199421492e-12,24.088807638277373
HSP90AB1,3.2391555033333326,16.81760978173913,21.584972856150465,8.861401882360098e-15,5.108387199421492e-12,24.0744327117123
SPON1,-4.9872320970000015,7.864179317217391,-21.35301548143051,1.0786447661222182e-14,5.9354879721252604e-12,23.88283110695568
CNPY4,-2.7099837526666697,8.006312814347826,-21.21531638319155,1.2132980702994629e-14,6.07760846872046e-12,23.7680434316307
ACOT7,3.0604577603333327,10.473165700826087,21.178467518731903,1.2522501728832117e-14,6.07760846872046e-12,23.737192261915542
SLC29A1,4.718029463333335,11.327198112608695,21.14847610905793,1.2849228669775653e-14,6.07760846872046e-12,23.712040563964226
STIP1,2.6059508466666657,13.604390193478261,21.13018747142695,1.3052851494030394e-14,6.07760846872046e-12,23.69668469593732
ATP1B3,2.4551545599999987,12.775310661304347,21.034942900757155,1.4169508198359715e-14,6.353187638864545e-12,23.616486555795817
UCK2,3.3957747010000023,10.80010946552174,20.64782763935943,1.9851671450999536e-14,7.944081473129868e-12,23.28655415094558
SLC25A5,1.8593424933333331,12.947011198260869,20.644264828607593,1.991391066299434e-14,7.944081473129868e-12,23.283487626995782
TUBA1B,3.0429955099999972,13.256056390434782,20.61004291411472,2.052228616072164e-14,7.944081473129868e-12,23.25400452121079
HPCAL4,-4.482685730999999,6.817428254782609,-20.605523110160348,2.060408445029477e-14,7.944081473129868e-12,23.25010676710428
NCS1,3.645409550666665,10.744470009043479,20.583978503028803,2.0998728493321968e-14,7.944081473129868e-12,23.23151502062808
PRDX4,2.5551481146666664,10.595168590695652,20.450334211774223,2.363102600471821e-14,8.66900608524602e-12,23.115732537038724
STK38,-2.1285165066666654,10.951147440434783,-20.30217327373972,2.6959020255339974e-14,9.445565646107473e-12,22.986449668366628
PTGDR2,-2.8705408200000013,6.438900704782609,-20.28774906107413,2.730834277331584e-14,9.445565646107473e-12,22.973811019990922
BATF3,4.642424965333333,10.199171901739131,20.07552291170467,3.303573851334618e-14,1.1109184734515801e-11,22.786772318369753
SUN2,-2.566413646666666,11.829247706086957,-19.868514335953417,3.9848673523623056e-14,1.3038055180458937e-11,22.60235309468559
B4GALT2,3.4782294673333354,9.82056751,19.80477449235151,4.22321272276393e-14,1.3454266637310563e-11,22.54516998756984
SLC39A14,3.6142842413333334,11.845620004608696,19.73960825584334,4.4824283253921455e-14,1.3913917258255721e-11,22.48651132786811
TFRC,3.2589678366666686,14.421813883478261,19.58766722377021,5.1539038523426405e-14,1.5598290009115002e-11,22.34896806947699
MCM2,2.674142598333333,11.776703393695652,19.53511788967817,5.4100678330614056e-14,1.5974214923668627e-11,22.30114382514103
OSER1-DT,-2.764406450666665,6.5967823336086955,-19.428301980328538,5.972874289058722e-14,1.7216099081748783e-11,22.203525953373205
P2RY10,-3.0542656906666696,9.218481302086957,-19.270278690463297,6.920932143567323e-14,1.9484838262796746e-11,22.058101809101863
MRTO4,3.188778796000001,12.192609733130436,19.195933922210383,7.420456678665751e-14,2.0416374670892632e-11,21.989264292981034
YWHAE,2.0494322866666668,13.173537829130435,19.14736172924517,7.767156505569802e-14,2.0895377034761784e-11,21.94414380949925
ETF1,2.3676219266666667,13.309152296086957,19.059126274583395,8.441205525074148e-14,2.221505088837992e-11,21.861880939221212
SRM,3.3637623933333334,13.188821005652173,19.001258881212188,8.916412234659528e-14,2.2966401385699627e-11,21.80772086043778
GDPD3,-2.263926525666668,6.467230665695652,-18.95058298985899,9.355645526226657e-14,2.3595717654270817e-11,21.76015437486008
DLEC1,-2.304405614000001,6.915789768652174,-18.91816410815775,9.648507930014164e-14,2.3837721836888053e-11,21.729657220630205
RBBP8,2.7061297289999997,10.437907012304349,18.861882924959687,1.0180031822501183e-13,2.4325049681125364e-11,21.676586778019008
FKBP4,2.8924128133333316,12.996600775217392,18.854947735952468,1.0247625423239662e-13,2.4325049681125364e-11,21.670036177714696
WDR12,2.774176999333333,11.707716748782609,18.776307632400773,1.104792161206644e-13,2.5720411353014682e-11,21.595586710821635
BYSL,3.335395813666664,10.986137983,18.72207993201018,1.1637832380309494e-13,2.6582565810571082e-11,21.54406565013963
NOP16,3.0254415350000006,11.41141178021739,18.57250600085079,1.3442893695146758e-13,3.0136976124712345e-11,21.401176416464725
ATP2A2,1.9016868633333353,13.968668666956521,18.543762648987826,1.38222431139548e-13,3.0424013661370326e-11,21.3735854698708
PBXIP1,-4.046156706333333,10.660985171173913,-18.436778765503906,1.5335960910829874e-13,3.315306121187615e-11,21.270513318633657
HIF1A,2.2368838033333365,13.511675077391304,18.3557005137594,1.6598625183247964e-13,3.525315025761401e-11,21.19200062668209
CCT5,2.4364303399999994,13.581152424782609,18.308802346503278,1.737840866968337e-13,3.568515631332565e-11,21.14642834451372
CCDC86,3.1535757600000007,11.233565523043477,18.28602533743132,1.777091511802069e-13,3.568515631332565e-11,21.12425328604722
FGD3,-2.203022560000001,11.506306889565217,-18.278148782236734,1.7908805410695695e-13,3.568515631332565e-11,21.116578489420366
NDFIP2,5.582661475666669,12.16808403578261,18.274043383592577,1.7981121221814508e-13,3.568515631332565e-11,21.112576945049984
DCTPP1,2.6700999709999973,10.904947145956521,18.212049783943534,1.911119973532916e-13,3.731615870901529e-11,21.05204258388362
"NAMPT",4.5565477800000025,14.59156018173913,18.078974401863306,2.1796417264245213e-13,4.1801843180274817e-11,20.92140497468362
